,count,mean,std,min,25%,50%,75%,max
id,569.0,30371831.43,125020585.61,8670.0,869218.0,906024.0,8813129.0,911320502.0
radius_mean,569.0,14.13,3.52,6.98,11.7,13.37,15.78,28.11
texture_mean,569.0,19.29,4.3,9.71,16.17,18.84,21.8,39.28
perimeter_mean,569.0,91.97,24.3,43.79,75.17,86.24,104.1,188.5
area_mean,569.0,654.89,351.91,143.5,420.3,551.1,782.7,2501.0
smoothness_mean,569.0,0.1,0.01,0.05,0.09,0.1,0.11,0.16
compactness_mean,569.0,0.1,0.05,0.02,0.06,0.09,0.13,0.35
concavity_mean,569.0,0.09,0.08,0.0,0.03,0.06,0.13,0.43
concave points_mean,569.0,0.05,0.04,0.0,0.02,0.03,0.07,0.2
symmetry_mean,569.0,0.18,0.03,0.11,0.16,0.18,0.2,0.3
fractal_dimension_mean,569.0,0.06,0.01,0.05,0.06,0.06,0.07,0.1
radius_se,569.0,0.41,0.28,0.11,0.23,0.32,0.48,2.87
texture_se,569.0,1.22,0.55,0.36,0.83,1.11,1.47,4.88
perimeter_se,569.0,2.87,2.02,0.76,1.61,2.29,3.36,21.98
area_se,569.0,40.34,45.49,6.8,17.85,24.53,45.19,542.2
smoothness_se,569.0,0.01,0.0,0.0,0.01,0.01,0.01,0.03
compactness_se,569.0,0.03,0.02,0.0,0.01,0.02,0.03,0.14
concavity_se,569.0,0.03,0.03,0.0,0.02,0.03,0.04,0.4
concave points_se,569.0,0.01,0.01,0.0,0.01,0.01,0.01,0.05
symmetry_se,569.0,0.02,0.01,0.01,0.02,0.02,0.02,0.08
fractal_dimension_se,569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
radius_worst,569.0,16.27,4.83,7.93,13.01,14.97,18.79,36.04
texture_worst,569.0,25.68,6.15,12.02,21.08,25.41,29.72,49.54
perimeter_worst,569.0,107.26,33.6,50.41,84.11,97.66,125.4,251.2
area_worst,569.0,880.58,569.36,185.2,515.3,686.5,1084.0,4254.0
smoothness_worst,569.0,0.13,0.02,0.07,0.12,0.13,0.15,0.22
compactness_worst,569.0,0.25,0.16,0.03,0.15,0.21,0.34,1.06
concavity_worst,569.0,0.27,0.21,0.0,0.11,0.23,0.38,1.25
concave points_worst,569.0,0.11,0.07,0.0,0.06,0.1,0.16,0.29
symmetry_worst,569.0,0.29,0.06,0.16,0.25,0.28,0.32,0.66
fractal_dimension_worst,569.0,0.08,0.02,0.06,0.07,0.08,0.09,0.21
Unnamed: 32,0.0,,,,,,,
